JOBMAP_LINK_CD	JOB_DIC_VFCL_CD	JOB_DIC_VFCL_SEQNO	VFCL_JOB_NM	IND_CLCD	IND_CD_KOR_NM	GED	SVP	FD	FP	FT	STR	D1	CB	D2	CK	D3	RH	D4	TA	D5	HE	D6	VP	Factor1	Factor2	Factor3	IND1	OCC1
1412	2312	6	수리시험연구원	M701	자연과학 및 공학 연구개발업	18	15	8	8	7	2	0	0	0	0	0	0	0	0	0	0	0	0	2.1416478434	0.1736488739	-0.25816353	70	231
0442	2122	9	미래학자	M702	인문 및 사회과학 연구개발업	18	15	8	8	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2.0401238726	-1.09176733	0.0318172097	70	212
0432	2111	14	미생물의약연구원	C211	기초 의약물질 및 생물학적 제제 제조업	18	15	8	8	7	3	0	0	0	0	0	0	0	0	0	0	1	1	2.0008023897	0.6929887247	1.5329469133	21	211
0431	2112	16	수학연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.9969514113	-0.54268217	-0.150892001	70	211
0431	2112	24	통계학연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.9969514113	-0.54268217	-0.150892001	70	211
0432	2111	66	토양관리연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	3	0	0	1	1	0	0	0	0	0	0	0	0	1.9906162485	1.2162061262	-0.304701237	70	211
0432	2111	21	산림환경연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1.9593145337	-0.011009393	-0.211807848	70	211
0432	2111	60	초지사료연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	4	0	0	1	1	0	0	0	0	0	0	0	0	1.952979371	1.7478789036	-0.365617084	70	211
0431	2112	8	노심계통해석연구원	D351	전기업	18	10	8	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.93358024	-0.534885136	-0.149385847	35	211
0432	2111	83	생명정보연구원	M701	자연과학 및 공학 연구개발업	18	10	8	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.93358024	-0.534885136	-0.149385847	70	211
2221	2393	9	원자로공학연구원	D351	전기업	18	10	8	7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1.93358024	-0.534885136	-0.149385847	35	239
1911	2351	18	송변전기술연구원	D351	전기업	18	10	8	7	7	3	0	0	1	1	0	0	0	0	0	0	0	0	1.9272450773	1.2240031607	-0.303195083	35	235
0432	2111	20	산림자원연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1.9216776561	0.5206633849	-0.272723695	70	211
0432	2111	51	임목육종연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1.9216776561	0.5206633849	-0.272723695	70	211
0432	2111	52	임산공학연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1.9216776561	0.5206633849	-0.272723695	70	211
0432	2111	54	임업시험연구원	M701	자연과학 및 공학 연구개발업	18	10	8	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1.9216776561	0.5206633849	-0.272723695	70	211
1412	2312	10	전력구조평가원	F412	토목 건설업	18	4	8	7	7	2	1	1	4	1	0	0	0	0	0	0	0	0	1.9198609053	1.2690596962	-0.302150181	41	231
2211	2341	3	발전환경연구원	D351	전기업	18	4	8	7	7	2	1	1	4	1	0	0	0	0	0	0	0	0	1.9198609053	1.2690596962	-0.302150181	35	234
0441	2121	6	역사학연구원	M702	인문 및 사회과학 연구개발업	18	10	8	8	7	1	0	0	0	0	0	0	1	1	4	1	0	0	1.9104261961	-0.865934572	1.2092554125	70	212
2012	2212	13	방송기술연구원	J601/J602		16	15	8	7	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1.9077162704	0.3636275019	-0.297691336	60	221
